N,329,3,4,7
13332,3,2
24101,3,4
38595,3,6
72933,3,6
73408,3,6
79462,3,8
81638,3,9
N,47,3,1,5
4639,3,2
61118,3,2
81551,3,2
96660,3,2
97915,3,1
N,2303,3,2,10
4614,3,4
15938,3,4
20171,3,2
32471,3,5
48103,3,9
72103,3,9
75415,3,9
80609,3,9
91877,3,9
97509,3,6
N,1663,3,4,19
14535,3,9
32231,4,4
87775,3,6
88227,3,9
68583,3,2
87258,3,7
61159,3,4
13913,3,1
60053,3,5
12004,3,1
15199,3,10
15942,3,6
24287,3,7
38117,3,8
44450,3,9
52959,3,8
56285,3,7
77533,3,7
97895,3,3
N,1155,3,1,16
71906,3,2
56524,3,9
40677,3,7
79419,3,7
39366,3,6
32219,3,3
38050,3,6
6176,3,9
15587,3,1
42493,3,5
48836,3,1
54723,3,3
64679,3,10
71331,3,6
81063,3,6
91839,3,3
N,1265,3,4,14
56932,3,8
24211,3,10
93407,3,6
773,3,10
6211,3,2
16101,3,2
31167,3,5
32103,3,8
48803,3,2
72423,3,2
73159,3,9
77153,3,4
81637,3,7
95958,3,3
N,283,3,3,15
87117,3,6
91845,3,10
96231,3,10
89831,3,2
13797,3,1
15078,3,6
22855,3,2
23942,3,2
29903,3,6
32231,3,9
63077,3,9
72517,3,3
81471,3,5
85157,3,5
88519,3,4
N,2299,3,2,10
5953,3,10
29779,3,8
49895,3,9
52967,3,3
55718,3,10
56055,3,6
71267,3,9
72229,3,1
72420,3,3
72885,3,1
N,515,3,5,10
4679,3,4
6183,3,7
13366,3,5
23166,3,10
43748,3,10
46373,3,9
48855,3,9
72871,3,7
85653,3,5
89723,3,9
N,329,3,4,19
12003,3,1
89669,3,3
61735,3,8
46403,3,4
23853,3,7
32471,3,9
35479,3,2
85319,3,7
5575,3,1
6207,3,8
19548,3,2
27943,3,8
31925,3,9
56965,3,5
63627,3,4
69862,3,5
72931,3,6
89797,3,10
97753,3,8
N,195,3,2,7
14950,3,1
15591,3,8
40551,3,2
55847,3,1
57062,3,5
63691,3,1
97922,3,5
N,327,3,1,16
6208,3,8
2045,3,8
40420,3,3
98019,3,9
52198,3,2
44510,3,1
22631,3,4
24143,3,5
28327,3,9
32120,3,1
34375,3,2
46295,3,10
63079,3,7
64998,3,10
81624,3,2
89767,3,7
N,2306,3,2,7
5697,3,2
23766,3,4
61155,3,1
73447,3,3
85456,3,8
86190,3,8
88787,3,8
N,1283,3,4,15
43694,3,5
73349,3,4
51775,3,9
97701,3,4
88735,3,6
56934,3,6
14984,3,1
20197,3,3
54071,3,4
65210,3,9
71207,3,3
80101,3,2
80866,3,2
84710,3,1
89831,3,1
N,47,3,1,13
38071,3,1
78807,3,8
2085,3,6
20263,3,4
26191,3,3
32303,3,8
32375,3,5
50262,3,8
59103,3,10
73447,3,4
80099,3,3
93667,3,7
98023,3,5
N,2295,3,3,9
15952,3,1
16101,3,5
22247,3,3
24132,3,10
25703,3,5
43205,3,4
65191,3,4
89318,3,10
97879,3,6
N,1519,3,2,10
5425,3,5
16087,3,3
22909,3,2
31879,3,9
40540,3,7
44503,3,10
56357,3,10
69335,3,10
81510,3,5
89465,3,1
N,267,3,3,11
15967,3,6
15998,3,3
24159,3,10
40071,3,9
61115,3,6
61159,3,12
64199,3,1
65250,3,2
71142,3,9
89447,3,4
92902,3,4
N,1047,3,4,8
5185,3,7
13250,3,5
19687,3,7
21915,3,1
23783,3,5
76767,3,8
81623,3,8
97126,3,2
N,38,3,1,18
71395,3,5
65255,3,4
89827,3,1
35495,3,1
37967,3,8
97409,3,5
95390,3,10
36516,3,4
3069,3,4
6197,3,3
15573,3,10
16061,3,7
43524,3,5
48079,3,10
57058,3,2
80598,3,3
96931,3,2
97975,3,1
N,1266,3,5,17
62655,3,2
56403,3,8
55715,3,2
38289,3,4
16087,3,4
13915,3,9
59069,3,10
5095,3,9
11335,3,2
16103,3,6
40612,3,7
48788,3,7
65227,3,10
79255,3,4
80969,3,4
82468,3,8
89823,3,3
N,1783,3,1,10
10247,3,5
13687,3,9
15071,3,2
24295,3,2
30110,5,4
40299,1,5
60949,3,2
73439,3,5
95949,3,6
96855,3,8
N,1795,3,4,16
88710,3,3
57062,5,6
23879,3,4
71,3,7
6215,3,7
10727,3,9
11799,3,10
13895,3,8
16042,3,6
21439,3,8
23199,3,7
32451,3,1
58341,3,4
64969,10,9
71142,3,8
96338,3,10
N,646,3,2,9
64862,3,2
16087,3,10
48785,3,4
50113,3,5
55746,3,5
70887,3,10
71343,3,2
83942,3,5
97787,3,6
N,193,3,1,20
79715,3,4
24150,3,8
97495,3,3
81636,3,4
96806,3,1
92507,3,5
81542,3,2
3143,3,6
40539,3,6
6206,3,6
23521,3,8
16004,3,4
24035,3,4
33255,3,7
52901,3,2
64870,3,1
65254,3,8
69084,3,10
72422,3,6
81541,3,3
N,2019,3,2,12
97815,3,1
73149,3,8
38303,3,9
10237,3,2
32447,3,4
39062,3,9
58823,3,4
62407,3,1
64742,3,8
69351,3,3
